C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-3.0823290635276273,-3.2738647538333225,-3.7993562426425176,-3.6438172549647074,-3.571486531006694,-3.1593425405469304,-3.397128596997595,-3.552026666590695,-3.5427107378793052,-3.596949828314523,-3.4821130414485966,-4.373477090605239,-4.0818233747161425,-3.8733221509855165,-4.709141980643676,-3.6850792796845337,-3.6866725309657973,-3.4207201040236126,-3.7479873085708406,-4.957385730062056,105
-3.064925979879728,-3.305685495718673,-3.5863925015170373,-3.7010503984904237,-3.600603384164576,-3.1955019163394756,-3.451057388533215,-3.603881576678184,-3.541843879729885,-3.5982001569403836,-3.493382397332439,-4.561539203170169,-4.126426604976668,-3.9507736313614683,-4.93124939845591,-3.716647530566511,-3.695910329802583,-3.4397373453625146,-3.7750317965793005,-5.181215603371741,106
-3.04786097441117,-3.3368616157722935,-3.3818284483741743,-3.7558507547580136,-3.6297618949339734,-3.2319537741054796,-3.501263625543205,-3.6560672939058803,-3.5517635207746028,-3.6001824749908673,-3.5106275398477593,-4.74993017095176,-4.182798492047906,-4.020834847899909,-5.139642975642688,-3.751387950743699,-3.7153611662261463,-3.4598423760182135,-3.8178931343538602,-5.3853133311118455,107
-3.0310448488217365,-3.366884452659217,-3.200374247518302,-3.8064391025566144,-3.6586122178950884,-3.267231551956474,-3.545055228115732,-3.7066055913611513,-3.5755359691589312,-3.6032900095889673,-3.535154958986827,-4.932090113858314,-4.253930611488214,-4.078863769721138,-5.322194066661895,-3.7888438678545318,-3.7472686970710924,-3.4807197007421027,-3.880670012035391,-5.554899589857062,108
-3.0143884048112106,-3.395245345044478,-3.0567400632537827,-3.8510362206753674,-3.6868045076281284,-3.2998686880039947,-3.579740116338966,-3.753518242131367,-3.6162275330283444,-3.6079159878576736,-3.5682711447419138,-5.101459151798141,-4.342814538855949,-4.120218365945451,-5.466774025971429,-3.828558609537446,-3.7938765791720246,-3.5020538242855768,-3.967461119764769,-5.6751950561820905,109
-2.9978024440793765,-3.4214356315931127,-2.965636059884984,-3.8878628879034123,-3.7139889187132966,-3.3283986203595735,-3.6026262103010778,-3.7948270193038978,-3.6769045205283137,-3.6144536369199773,-3.6112825871052907,-5.251477404679548,-4.452441849709469,-4.140256605693148,-5.561254208029178,-3.870075503430878,-3.8574284693635477,-3.5235292514000323,-4.082365147682867,-5.7314204066616306,110
-2.9808281892236175,-3.44649268021823,-2.9255812403479182,-3.914475479450973,-3.738917643431524,-3.353637752005919,-3.611014294291455,-3.8321442173245224,-3.7703500077476404,-3.6205835969417315,-3.668952423033401,-5.400308637606928,-4.603295664975026,-4.131312771722245,-5.600015899014955,-3.912813061994301,-3.9438563495616714,-3.5443319537666893,-4.249884522950324,-5.714728260660475,111
-2.9633032658501115,-3.4715203070707816,-2.9204978432913973,-3.93136154428314,-3.7612602579297807,-3.3775605191510922,-3.6061965906016566,-3.868417049905848,-3.900485828510725,-3.6246095435912347,-3.74257196121377,-5.564846669807444,-4.803653121625211,-4.0939420901809545,-5.592515445887138,-3.9569218227468252,-4.054129010039407,-3.5643368736884855,-4.479381211621408,-5.635530112489009,112
-2.9455830801718346,-3.4961095231725627,-2.943200886588987,-3.9411386218213535,-3.782042992587333,-3.4004374097446584,-3.591468176323107,-3.9036696690354815,-4.057086427566433,-3.6278592572451447,-3.828239949235279,-5.736626702373547,-5.038196819287867,-4.035833945274883,-5.549236794271465,-4.003043150916334,-4.183045320166851,-3.5842619718493856,-4.75224321217742,-5.5079349511403155,113
-2.928023038401763,-3.519851339545372,-2.986505388114255,-3.946424251487054,-3.8022920777834477,-3.4225389117361846,-3.570124128547232,-3.937926226701032,-4.229926249663638,-3.631660518280121,-3.9220551346868193,-5.907183936397694,-5.291609357590856,-3.964677721209632,-5.480663889793685,-4.0518184117307134,-4.325404149314109,-3.604825208933357,-5.049858523099676,-5.34605176560748,114
-2.9109785467528724,-3.542336767211003,-3.0432263657407637,-3.949835972701679,-3.82303374389739,-3.444135513075234,-3.5454595243654534,-3.9712108748901067,-4.40877973955121,-3.637341107072821,-4.020116265157274,-6.068053572972342,-5.548573336162032,-3.8881628021908035,-5.397280678079533,-4.1038889704178505,-4.4760043668512814,-3.626744545624364,-5.3536151428694865,-5.163989544883579,115
-2.8948050114381374,-3.5631568171912544,-3.1061788373420804,-3.95399132488667,-3.845294221308428,-3.465497701711374,-3.520769440869198,-4.003547765590314,-4.583421341978021,-3.646228803999904,-4.118522088235533,-6.2107708131899475,-5.793771354629254,-3.8139785724239994,-5.3095711047547525,-4.1598961922056334,-4.629644842148474,-3.650737942606375,-5.64490106996817,-4.975857277961695,116
-2.8798578386705347,-3.5819025005079217,-3.1681778207917692,-3.961507847463466,-3.8700997403958266,-3.4868959655941687,-3.4993489551498898,-4.0349610507892635,-4.7436255016929385,-3.659651389438027,-4.213371351510479,-6.326870858142963,-6.011886012620371,-3.7498144161148246,-5.228019115445088,-4.220481442321944,-4.781124444575784,-3.6775233605633546,-5.9051043028770245,-4.795763953834916,117
-2.866492434663039,-3.5981648281828007,-3.222038333963397,-3.9750030798535065,-3.898476531538853,-3.508600792673184,-3.4844931442989524,-4.065474882474561,-4.879166663444833,-3.6789366437638504,-4.3007628025710005,-6.407888908923846,-6.187599909763242,-3.7033597174688806,-5.163108655776279,-4.2862860859946705,-4.925242043503316,-3.7078187601792694,-6.115612840077367,-4.637818561496323,118
-2.855064205628627,-3.6115348112376893,-3.2605753947305276,-3.9970945614782316,-3.9314508251167726,-3.5308826708979852,-3.479497085407811,-4.095113412633817,-4.979819271982579,-3.7054123473540312,-4.376795189005985,-6.445360166625053,-6.305595645685721,-3.682303860691771,-5.125323671374068,-4.357951488451699,-5.056796508301171,-3.7423421021380867,-6.25781468005051,-4.516130089938997,119
-2.8459285577802738,-3.6216034606943825,-3.2766040209667278,-4.030399831759081,-3.9700488515088526,-3.554012088218138,-3.4876558555678905,-4.123900793254638,-5.0353577720550415,-3.7404062805852285,-4.437567258404315,-6.430819832339038,-6.350555820015664,-3.694336229989096,-5.125148107864196,-4.436119014920916,-5.170586708339453,-3.781811347123771,-6.313097821277763,-4.444807528156018,120
-2.839576105046141,-3.6262510627460878,-3.271405529341689,-4.076580922972917,-4.0196451349816265,-3.578552067983183,-3.5096003627934724,-4.1493677667264395,-5.038008391359361,-3.786469363714785,-4.485775867770538,-6.346405561942705,-6.310047008611418,-3.740805477667095,-5.166765848118215,-4.525897107265219,-5.270643160414752,-3.8303657296653117,-6.263238511123542,-4.418326562853616,121
-2.835910841313605,-3.62472413532939,-3.2531428550252475,-4.133846701058723,-4.082161283438,-3.6045348949210934,-3.5422639945532364,-4.170117476759894,-4.994056647024746,-3.843641817235799,-4.526965014237217,-6.190972140901419,-6.193046465113552,-3.814486678793793,-5.241629031601031,-4.629458669246186,-5.364598805622842,-3.8895602726806255,-6.117413777476351,-4.41898658694983,122
-2.834408242734459,-3.6186630370811534,-3.2249534436411817,-4.199634955931125,-4.1534441527118044,-3.631434949049083,-3.5833955471202024,-4.1877826773245,-4.914365917948178,-3.909485371878565,-4.561504155585278,-5.981130464690322,-6.016352805823243,-3.910208851717473,-5.341123988828418,-4.743041758939727,-5.452656149782608,-3.9562366194370715,-5.898112789603629,-4.442632148755464,123
