C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-4.318829103401219,-6.031035576500656,-5.497655556695836,-3.659023942064365,-6.4335716960779505,-3.668531798694707,-5.990334803921566,-3.7184882433212176,-5.98960014277058,-3.668240771863112,-3.6500129951507247,-6.012979231806847,-5.9333472788232,-3.7879751843270744,-5.930379723242713,-3.64609499166518,-3.3958443269151606,-3.893987068858687,49
-4.331110340534416,-6.099261688687658,-5.546617852880379,-3.659486901292806,-6.443857595523561,-3.6042180788267477,-6.0602439826499195,-3.6537602507072995,-6.0580637180982935,-3.6680091768462315,-3.6531084207483255,-6.079896653531282,-5.937333010617661,-3.7189262083163963,-5.932237551424317,-3.5883059117868012,-3.3903336327070517,-3.8377874289125717,50
-4.311186639709743,-6.032735907241161,-5.553268094150282,-3.734477563669262,-6.367092762478347,-3.678166585221249,-5.991204449860955,-3.654393022001412,-5.990074735415112,-3.6673128184288992,-3.6562102105207392,-6.013978366075285,-5.870095822272469,-3.71714187618667,-5.8614657147535825,-3.5900346121455167,-3.393486384539744,-3.8392633895160673,51
-4.257108023185633,-5.852165929029242,-5.571318749025732,-3.938023647262497,-6.158731072784198,-3.878883959720606,-5.80381143229091,-3.6561105440854313,-5.805533210989334,-3.6654227027247113,-3.6646293541887185,-5.8350573001232915,-5.687594882478375,-3.7122986889774126,-5.669370729504447,-3.5947267988334572,-3.402043853799907,-3.8432695682969835,52
-4.177413219886945,-5.586062803243257,-5.597919714105343,-4.237986296768318,-5.851671740603347,-4.174677985298607,-5.527653301135057,-3.658641629261881,-5.53357728025661,-3.6626372690553826,-3.6770365132783733,-5.571384150299304,-5.418646129097608,-3.7051613604585083,-5.386283382821514,-3.6016416002683176,-3.414654861130675,-3.849173410710966,53
-4.080640958738536,-5.262937579074558,-5.630220885987727,-4.602226656882531,-5.478813980098026,-4.5338564449290395,-5.192318427588661,-3.661715089833285,-5.2033450786525854,-3.6592549567426254,-3.6921023493158103,-5.251209611227315,-5.092065499992386,-3.696494604399838,-5.0425344618493755,-3.6100381448677914,-3.4299682271751784,-3.856342362213659,54
-3.9753299686652688,-4.911301305714506,-5.665372161271499,-4.998605872300937,-5.0730570054304716,-4.924727121585682,-4.827395182846995,-3.6650597381021646,-4.843974741612914,-3.6555742051081546,-3.708497523827139,-4.902784377531329,-4.736668933024942,-3.6870631345712845,-4.66845475373264,-3.6191755610495706,-3.4466327725765495,-3.8641438682607063,55
-3.870018978592001,-4.5596650323544505,-5.700523436555271,-5.394985087719345,-4.667300030762915,-5.3155977982423295,-4.462471938105329,-3.6684043863710447,-4.48460440457324,-3.6518934534736838,-3.7248926983384676,-4.554359143835343,-4.3812723660574955,-3.677631664742732,-4.294375045615903,-3.6283129772313507,-3.463297317977921,-3.8719453743077543,56
-3.7732467174435933,-4.236539808185754,-5.732824608437655,-5.759225447833556,-4.294442270257596,-5.674776257872757,-4.127137064558935,-3.671477846942448,-4.154372202969219,-3.648511141160927,-3.7399585343759054,-4.234184604763357,-4.054691736952277,-3.6689649086840612,-3.950626124643768,-3.636709521830824,-3.478610684022425,-3.8791143258104466,57
-3.693551914144904,-3.9704366823997668,-5.759425573517265,-6.059188097339377,-3.9873829380767427,-5.97057028345076,-3.850978933403079,-3.674008932118898,-3.8824162722364925,-3.6457257074915974,-3.7523656934655594,-3.970511454939366,-3.785742983571507,-3.661827580165156,-3.667538777960831,-3.6436243232656844,-3.4912216913531924,-3.8850181682244282,58
-3.639473297620794,-3.7898667041878493,-5.7774762283927155,-6.262734180932612,-3.7790212483825947,-6.171287657950116,-3.6635859158330355,-3.6757264542029175,-3.697874747810716,-3.64383559178741,-3.760784837133539,-3.7915903889873745,-3.6032420437774144,-3.656984392955899,-3.4754437927116975,-3.6483165099536254,-3.4997791606133557,-3.889024347005345,59
-3.619549596796122,-3.723340922741353,-5.784126469662618,-6.337724843309067,-3.702256415337382,-6.245236164344616,-3.5945463830440723,-3.6763592254970296,-3.6298857651275354,-3.6431392333700776,-3.7638866269059523,-3.7256721015313774,-3.5360048554322225,-3.6552000608261728,-3.404671956040964,-3.6500452103123404,-3.502931912446048,-3.8905003076088405,60
-3.627821502554076,-3.779914114347138,-5.731706490669442,-6.262466369233,-3.70631064711684,-6.176658039783315,-3.6026534590435917,-3.677826051349139,-3.635320461831799,-3.6459587712068995,-3.8170464260785475,-3.7784714128231016,-3.5843516722117053,-3.7113083838683427,-3.4466868668482595,-3.6969991455035465,-3.5042490720849844,-3.8960741235060583,61
