C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-3.3265844915004115,-3.557837133203865,-4.327333949127452,-4.1753358142366395,-4.457717842565756,-4.7041328358620635,-4.839048117687312,-5.027077795869138,-5.529204446010802,155
-3.3376901571054853,-3.632179358256167,-4.3038287048795745,-4.1977349381317435,-4.48321001839207,-4.687611145384183,-4.874169760268348,-5.053151438546756,-5.563854615562,156
-3.3478953633371744,-3.7004938353312538,-4.28222929124639,-4.218317916846164,-4.506635261043277,-4.672429051431537,-4.906443702099568,-5.077111002088351,-5.5956953119063435,157
-3.3562996508220944,-3.7567528164519133,-4.264441538842591,-4.235268605199216,-4.525926637344271,-4.659926150529357,-4.933022242431162,-5.096842407357899,-5.621917061836978,158
-3.362002560186862,-3.7949285536409323,-4.25237127828287,-4.246770858010215,-4.539017214119945,-4.651442039202879,-4.951057680513314,-5.110231575219379,-5.639710392147052,159
-3.364103632058092,-3.8089932989210973,-4.24792434018192,-4.251008530098478,-4.543840058195194,-4.648316313977334,-4.9577023155962126,-5.115164426536766,-5.646265829629711,160
-3.3669674376232694,-3.813336156762438,-4.249459179627625,-4.254939770004891,-4.5464267356495665,-4.652883304718803,-4.96042868827645,-5.1207388192887935,-5.646609069585768,161
-3.3748276699191813,-3.82525591551846,-4.253671824063704,-4.265729768896962,-4.553526339726462,-4.665418236753898,-4.967911711164764,-5.136038748331591,-5.647551153720477,162
-3.386587552346398,-3.8430893530371577,-4.259974462638613,-4.281872945533937,-4.564148227996545,-4.684172049798653,-4.979107241532549,-5.158929339845233,-5.648960628433647,163
-3.4011503083054895,-3.8651732471665294,-4.267779284500808,-4.301863718675062,-4.577301758030482,-4.707395683569102,-4.992971136651207,-5.187275720009796,-5.650706040125085,164
-3.417419161197029,-3.8898443757545733,-4.276498478798741,-4.324196507079581,-4.59199628739894,-4.733340077781277,-5.008459253792133,-5.218943015005355,-5.652655935194599,165
-3.4342973344215837,-3.9154395166492857,-4.2855442346808665,-4.347365729506742,-4.607241173672583,-4.76025617215121,-5.024527450226728,-5.251796351011983,-5.654678860041999,166
-3.450688051379726,-3.940295447698664,-4.2943287412956375,-4.369865804715791,-4.622045774422078,-4.7863949063949365,-5.040131583226387,-5.283700854209754,-5.65664336106709,167
-3.4654945354720246,-3.9627489467507027,-4.302264187791509,-4.390191151465971,-4.63541944721809,-4.810007220228488,-5.054227510062511,-5.312521650778745,-5.658417984669683,168
-3.4776200100990513,-3.9811367916534013,-4.308762763316934,-4.40683618851653,-4.646371549631284,-4.829344053367898,-5.065771088006496,-5.336123866899027,-5.659871277249584,169
