C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-3.78674313691617,-3.017956043169131,-4.341646689072729,-3.9751753826735676,-2.948203660772225,-3.357296019501381,-3.4094213352946556,-3.7434352611613533,-3.7938938335353005,-3.3956431350333904,76
-3.7774858776352325,-3.046657196527288,-4.243975375182059,-3.98634220516138,-2.953087529750444,-3.356101786902032,-3.417071765627916,-3.744319029926,-3.7972287555656203,-3.4013989411473196,77
-3.768925440144007,-3.0715111126069257,-4.156181004878712,-3.9951151353284495,-2.957626921296176,-3.3554105939992565,-3.4239285359105835,-3.745449252607769,-3.800409816517521,-3.4067025505251736,78
-3.760658981527,-3.0911519181228897,-4.086938269394865,-4.000257640531288,-2.9616299397174695,-3.352676194737365,-3.429651663905324,-3.746858829972072,-3.803515061498293,-3.4113774946597215,79
-3.752283658868716,-3.104213739790025,-4.044921859962692,-4.000533188126402,-2.964904689322373,-3.3453523430606693,-3.4339011673748003,-3.7485806627843177,-3.8066225356152272,-3.4152473050437315,80
-3.7442861808762316,-3.1097479419758507,-4.027408023791449,-3.996722292439792,-2.96746714301308,-3.336588282830296,-3.4363544610159917,-3.7504031854803412,-3.8099805480769744,-3.4180949378059684,81
-3.737354704299177,-3.1086439660691485,-4.023887588793655,-3.990540902690263,-2.9695251775639444,-3.3307741454342534,-3.4371849049437166,-3.752174742323333,-3.8136461127770755,-3.419982817395838,82
-3.731388558285887,-3.102293054316658,-4.031357117256375,-3.982155638573533,-2.971174753091255,-3.3272250161071706,-3.4367964350473956,-3.7540180988197287,-3.817410331850157,-3.42115367778707,83
-3.726287071984697,-3.09208644896512,-4.046813171466673,-3.9717331197853203,-2.9725118297113,-3.3252559800836803,-3.435592987216454,-3.7560560204759663,-3.821064307430847,-3.4218502529533947,84
-3.7219495745439395,-3.0794153922612724,-4.067252313711615,-3.959439966021342,-2.9736323675403673,-3.324182122598413,-3.433978497340313,-3.758411272798483,-3.824399141653772,-3.4223152768685403,85
-3.718275395111951,-3.0656711264518566,-4.0896711062782645,-3.945442796977317,-2.9746323266947448,-3.323318528886,-3.4323569013083977,-3.7612066212937156,-3.8272059366535593,-3.4227914835062383,86
-3.7151638628370653,-3.052244893783612,-4.1110661114536855,-3.929908232348962,-2.9756076672907215,-3.3219802841810724,-3.431132135010129,-3.7645648314681024,-3.8292757945648357,-3.4235216068402177,87
-3.712514306867618,-3.0405279365032785,-4.1284338915249466,-3.9130028918319963,-2.9766543494445856,-3.3194824737182618,-3.4307081343349313,-3.768608668828081,-3.830399817522229,-3.424748380844209,88
-3.7102260563519427,-3.031911496857596,-4.138771008779109,-3.894893395122137,-2.977868333272625,-3.315140182732199,-3.4314888351722277,-3.773460898880087,-3.8303691076603656,-3.4267145394919423,89
-3.708198440438374,-3.027786817093305,-4.13907402550324,-3.8757463619151027,-2.979345578891128,-3.3082684964575155,-3.4338781734114407,-3.7792442871305587,-3.8289747671138725,-3.429662816757146,90
-3.7069404846293654,-3.028021201617536,-4.13055467929516,-3.853896179793057,-2.980883635811598,-3.29787770222577,-3.4380669049027492,-3.7868530347247424,-3.8256881567035723,-3.4333584991271873,91
-3.7068393802724517,-3.0310981609191137,-4.117000833855963,-3.8282447177283125,-2.982270517345757,-3.2841282416445097,-3.443742108640555,-3.796656607699616,-3.8204322228199388,-3.4374194660852537,92
