C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,time
-3.276123224926069,-3.2777635482696943,-4.27000139380978,-3.0149211264746114,-2.939118813747803,-3.25544021696579,-3.8132268238424616,-3.099129058087042,-3.1995845625853905,-3.647808939472525,-3.3947486207470625,-3.571034726097621,-3.387321201704322,-3.644142455304466,-3.635583186205399,-3.4531453947250146,-3.746051451572248,-3.641620419140564,-3.890585029472969,-3.2507026591068993,-3.296198795069006,-3.55821405969371,-3.7294519640241703,-4.070687371463692,96
-3.2859557308233915,-3.2319461990261384,-4.485877748452381,-3.0416426042766593,-2.923206820834276,-3.2759399514476573,-4.028054353216393,-3.10958092874808,-3.185483297996738,-3.6351602700127756,-3.3698802089941715,-3.575485957552321,-3.3667880815128073,-3.631430478092019,-3.6072794451257693,-3.4652203022235204,-3.7261408010073747,-3.6186183383416983,-3.8592027006845324,-3.2451063419574213,-3.2668645220955193,-3.5524527531524956,-3.7129893630760877,-4.026295631853263,97
-3.294085154726392,-3.1882489470011848,-4.6602343851505665,-3.068899055784804,-2.9117546041256213,-3.2973199340216306,-4.206986495445342,-3.1237221594362805,-3.1766510812455837,-3.6242155981147124,-3.351677237519487,-3.579674746256648,-3.351081727900085,-3.619927043665221,-3.5989306686509677,-3.482634024706133,-3.7270380169260364,-3.6008313435719987,-3.831780729479415,-3.2417866406467,-3.243474267710697,-3.5490688698640365,-3.702171540602606,-4.004268486109955,98
-3.2997129039080617,-3.148187631067937,-4.774755926121989,-3.0961599769327988,-2.9067708305581914,-3.3193384375456763,-4.3309489105165575,-3.1422518545153744,-3.175282453353986,-3.6163071641121087,-3.3429490098558503,-3.5837636126695327,-3.3424129496656843,-3.610931506292779,-3.6169361442119596,-3.5064375516000927,-3.7552790563183467,-3.5907348061408237,-3.810549356753805,-3.2419599188581474,-3.2289496264843827,-3.5490789736686517,-3.699271803856221,-4.012661565141461,99
-3.3020403856413942,-3.113278090099496,-4.8111269935843115,-3.1228948636543974,-2.9102641670683402,-3.341753734877763,-4.3808672584173065,-3.1658691183490957,-3.183571955344006,-3.6127672083387363,-3.3465048295360997,-3.5879150772499075,-3.3429925556091327,-3.6057432202434025,-3.6676951592397113,-3.53768187233264,-3.8173998761744183,-3.59080409735753,-3.7977388234038925,-3.2468425402751775,-3.226212192986421,-3.5534996284066622,-3.706563460089429,-4.059530499855473,100
-3.3011651595068443,-3.082753106644775,-4.757706006332891,-3.1503087946739203,-2.9224926600190577,-3.366394838766782,-4.351932586850625,-3.198029483835413,-3.2031504358129186,-3.6088015392124615,-3.362415750191255,-3.5914038655975093,-3.350692795021887,-3.599521306288542,-3.755714794345957,-3.582454208700627,-3.92614681398232,-3.599661416339999,-3.786816914997628,-3.255485209281055,-3.23471039844291,-3.562729311025773,-3.7160040513805055,-4.1603312496335345,101
-3.297969595506746,-3.054614467732916,-4.627019144361645,-3.17962141053654,-2.941516606492823,-3.3945285474057054,-4.261254052701777,-3.2399276943552526,-3.2326481014400397,-3.600365134397075,-3.387807894248937,-3.593658507754781,-3.362038893570059,-3.5882289085781216,-3.8768626851273273,-3.64304643562961,-4.081823138875308,-3.6139742664254983,-3.771841781106346,-3.2660991252318303,-3.2511080139811055,-3.5759351832551194,-3.7207680417333115,-4.315296470968529,102
-3.2928323165469098,-3.028531518957365,-4.4370026716860815,-3.2103240499072903,-2.9660480495052246,-3.425069811818622,-4.122634479731376,-3.2888716699967824,-3.269758530370484,-3.589913988095236,-3.4210731684368887,-3.5950722308447123,-3.3772211246151613,-3.5743714164485576,-4.024578951492126,-3.714816522239887,-4.272300205311267,-3.633285975252462,-3.7559292086313074,-3.2786413942700965,-3.274149644022582,-3.5922868361071627,-3.724954121288719,-4.509646840435147,103
-3.2861319455331492,-3.004173605911569,-4.2055928523217085,-3.241908051451206,-2.994799032071852,-3.456933583029624,-3.9498766917000294,-3.3421693308481735,-3.3121753007493684,-3.579904094509607,-3.460603479482854,-3.596038261990296,-3.3964297615187107,-3.560454219236269,-4.19230371334866,-3.793122437651757,-4.485449367748092,-3.6571398704593294,-3.7421949844737736,-3.293069122538449,-3.3025798929889167,-3.6109538605943676,-3.7326609801876045,-4.728603034608091,104
-3.278247105371276,-2.9812100741889727,-3.9507259502840273,-3.2738647538333217,-3.026481597208291,-3.4890348120628003,-3.7567835123683437,-3.3971285969975944,-3.357591990721809,-3.572791447842847,-3.5047907341145765,-3.5969498283145227,-3.4198550776422176,-3.5489827062776707,-4.373477090605239,-3.873322150985518,-4.709141980643676,-3.685079279684533,-3.733754895535003,-3.3093394161794816,-3.335143365301685,-3.631105847729195,-3.7479873085708397,-4.957385730062056,105
-3.269556418967101,-2.9593102693830233,-3.6903382295885474,-3.3056854957186728,-3.059807787930133,-3.520288449942241,-3.5571577654969277,-3.4510573885332145,-3.4037021784329204,-3.5710320422976167,-3.552026839059798,-3.5982001569403828,-3.447687346347197,-3.5424622669091796,-4.561539203170169,-3.950773631361469,-4.93124939845591,-3.7166475305665103,-3.7337247287162567,-3.327409381335789,-3.3705846653824643,-3.6519123885241087,-3.7750317965792997,-5.181215603371742,106
-3.260438509226436,-2.9381435370871656,-3.442365954250769,-3.3368616157722926,-3.093489647252964,-3.5496094476920375,-3.3648022748463857,-3.501263625543204,-3.4481994420278204,-3.577081872076576,-3.6007037010462635,-3.6001824749908664,-3.480116840995163,-3.543398290467213,-4.749930170951761,-4.02083484789991,-5.139642975642688,-3.751387950743698,-3.7452202709187956,-3.3472361241499637,-3.4076483976528316,-3.6725430739915708,-3.8178931343538594,-5.385313331111847,107
-3.251271999055094,-2.9173792228948474,-3.2247453882862094,-3.3668844526592157,-3.126239218192373,-3.5759127563362783,-3.1935198641773335,-3.5450552281157313,-3.488777359651622,-3.593396931382387,-3.649213226801715,-3.6032900095889664,-3.517333834947628,-3.554296166288188,-4.932090113858314,-4.078863769721138,-5.322194066661895,-3.78884386785453,-3.77135730904388,-3.3687767507646016,-3.4450791665343603,-3.6921674951440444,-3.8806700120353903,-5.5548995898570634,108
-3.242435511358886,-2.896686672399513,-3.0554127957103674,-3.395245345044477,-3.1567685437639486,-3.598113326899055,-3.0571133572503753,-3.5797401163389653,-3.5231295094494444,-3.6224332144177085,-3.6959473230538946,-3.6079159878576728,-3.5595286015661065,-3.577661283708521,-5.101459151798141,-4.120218365945451,-5.466774025971429,-3.828558609537444,-3.8152516299927695,-3.3919883673222957,-3.4816215764486294,-3.709955242993993,-3.967461119764768,-5.675195056182092,109
-3.2343076690436243,-2.875735231194609,-2.952304440538751,-3.421435631593112,-3.1837896669832797,-3.6151261104044567,-2.969385577826119,-3.602626210301077,-3.5489494695664012,-3.666646715385201,-3.7392978965305477,-3.6144536369199765,-3.6068914142121127,-3.6159990320646287,-5.251477404679548,-4.140256605693148,-5.561254208029178,-3.870075503430876,-3.880019020666725,-3.416828079965641,-3.516020231817213,-3.725075908553878,-4.082365147682866,-5.731420406661632,110
-3.2263855767097778,-2.854088892456572,-2.9155980147095004,-3.446492680218229,-3.2085213144684817,-3.6244331192328008,-2.9283890225587297,-3.6110142942914543,-3.5656065830286128,-3.734211664604836,-3.7815671846419843,-3.6205835969417306,-3.6612886208740574,-3.677183914241584,-5.400308637606928,-4.131312771722245,-5.600015899014956,-3.9128130619942993,-3.9721202690602135,-3.445126582879044,-3.5492200455691387,-3.7317198765544606,-4.249884522950323,-5.714728260660476,111
-3.2179972020478753,-2.8318483310383677,-2.9267916658758746,-3.4715203070707807,-3.2329762156579003,-3.6257607073481695,-2.91872770568952,-3.6061965906016558,-3.575142329737136,-3.827122344192359,-3.8257018604540525,-3.624609543591234,-3.7235597610224547,-3.762992472530366,-5.564846669807445,-4.0939420901809545,-5.592515445887138,-3.956921822746824,-4.09191351542071,-3.477945410905967,-3.583047861042601,-3.727520747833239,-4.479381211621407,-5.63553011248901,112
-3.2092674625988202,-2.809487915048234,-2.975802341626052,-3.496109523172562,-3.257057417797462,-3.621390338150301,-2.934031727359819,-3.5914681763231058,-3.579258493149493,-3.938564826044084,-3.871060484177795,-3.6278592572451442,-3.7923548952419623,-3.866783155376248,-5.736626702373547,-4.0358339452748835,-5.549236794271465,-4.003043150916332,-4.233360575028973,-3.5140879311775857,-3.6175711782729274,-3.716812937562782,-4.752243212177419,-5.507934951140317,113
-3.200321275903517,-2.7874820125944106,-3.052546989548214,-3.519851339545371,-3.2806679681330966,-3.613603475038935,-2.967931187710959,-3.570124128547231,-3.5796568567232083,-4.061725182056335,-3.9170016160242622,-3.6316605182801203,-3.8663240841172453,-3.9819144112245075,-5.907183936397695,-3.964677721209632,-5.480663889793685,-4.0518184117307126,-4.390423263165774,-3.5523575108250776,-3.652857497295449,-3.7039308609156603,-5.049858523099675,-5.34605176560748,114
-3.1912835595028666,-2.7663049917851366,-3.1469425572305396,-3.542336767211002,-3.303710913910732,-3.60468158141381,-3.014056186884268,-3.5454595243654525,-3.5780392039158024,-4.189789484125428,-3.9628838162044984,-3.637341107072821,-3.9441173882329648,-4.101744688520419,-6.068053572972343,-3.888162802190804,-5.397280678079533,-4.1038889704178505,-4.557063395111875,-3.5915575169796163,-3.6889743181454944,-3.693208933064441,-5.3536151428694865,-5.163989544883578,115
-3.182279230937773,-2.7464312207286503,-3.2489059922612107,-3.5631568171912535,-3.3260893023762983,-3.596906120674665,-3.066036825021079,-3.520769440869197,-3.5761073181848,-4.315943804147686,-4.00806564492955,-3.646228803999904,-4.024384868173784,-4.219632435709261,-6.210770813189949,-3.813978572424,-5.309571104754753,-4.159896192205633,-4.727242786148049,-3.6304913167723813,-3.725989140858393,-3.6889815691816943,-5.644901069968169,-4.975857277961694,116
-3.1734332077491403,-2.7283350675331914,-3.348354242228405,-3.5819025005079204,-3.3477061807757216,-3.5925585562212383,-3.117503202262719,-3.4993489551498884,-3.575562982987723,-4.433374214019423,-4.051905662410465,-3.6596513894380274,-4.105776584524362,-4.328936101236307,-6.326870858142964,-3.7498144161148255,-5.228019115445089,-4.220481442321944,-4.894923251555055,-3.6679622773345475,-3.763969465469474,-3.6955831844399905,-5.9051043028770245,-4.795763953834915,117
-3.16487040747787,-2.712490900306999,-3.4352042547203028,-3.5981648281828,-3.368464596354932,-3.5939203514532694,-3.1620854187505194,-3.484493144298951,-3.5781079817820953,-4.53526678563696,-4.093762428858287,-3.678936643763851,-4.186942597869363,-4.4230141335468325,-6.407888908923847,-3.7033597174688815,-5.16310865577628,-4.2862860859946705,-5.054066606613661,-3.702773765797291,-3.8029827920140655,-3.7173481940118966,-6.115612840077366,-4.637818561496321,118
